phoneCode,region,yomigana,prefecture,areaName
011,札幌,さっぽろ,北海道,北海道江別市、札幌市、北広島市、空知郡南幌町
0167,富良野,ふらの,北海道,北海道富良野市、空知郡（上富良野町、中富良野町および南富良野町に限る。）、勇払郡占冠村
017,青森,あおもり,青森県,青森県青森市（浪岡を除く。）、東津軽郡平内町
0179,三戸,さんのへ,青森県,青森県三戸郡（三戸町、田子町および南部町（相内、赤石、大向、沖田面、小向および玉掛に限る。）に限る。）
018,秋田,あきた,秋田県,秋田県秋田市、大仙市（協和荒川、協和稲沢、協和上淀川、協和小種、協和境、協和下淀川、協和中淀川、協和船岡、協和船沢および協和峰吉川に限る。）、潟上市、南秋田郡（井川町、五城目町および八郎潟町に限る。）
0187,角館,かくのだて,秋田県,秋田県仙北市、大仙市（大神成、上鶯野、北長野、栗沢、清水、下鶯野、豊岡、豊川、長戸呂、長野および鑓見内に限る。）
019,盛岡,もりおか,岩手県,岩手県滝沢市、盛岡市、岩手郡雫石町、紫波郡
0198,遠野,とおの,岩手県,岩手県遠野市
022,仙台,せんだい,宮城県,宮城県塩竈市、仙台市、多賀城市、名取市（堀内を除く。）、黒川郡、宮城郡
0229,古川,ふるかわ,宮城県,宮城県大崎市、加美郡、遠田郡
023,山形,やまがた,山形県,山形県上山市、天童市、山形市、東村山郡
0238,長井,ながい,山形県,山形県長井市、西置賜郡
024,福島,ふくしま,福島県,福島県伊達市、福島市、伊達郡
0248,白河,しらかわ,福島県,福島県白河市、西白河郡
025,新潟,にいがた,新潟県,新潟県新潟市（秋葉区覚路津、北区、江南区、中央区、西蒲区（打越、姥島、潟浦新、上小吉、高野宮、河間、五之上、小吉、道上、中之口、長場、羽黒、針ヶ曽根、東小吉、東中、東船越、福島、真木、巻大原、牧ヶ島、三ツ門、門田および六部に限る。）、西区、東区および南区に限る。）、北蒲原郡聖籠町（位守町、亀塚、東港および別條に限る。）
0259,佐渡,さど,新潟県,新潟県佐渡市
026,長野,ながの,長野県,長野県須坂市、千曲市、長野市、上高井郡、上水内郡
0269,飯山,いいやま,長野県,長野県飯山市、下高井郡（木島平村および野沢温泉村に限る。）、下水内郡
027,前橋,まえばし,群馬県,群馬県前橋市
0279,長野原,ながのはら,群馬県,群馬県吾妻郡（高山村、中之条町（赤岩、入山、太子、小雨、生須および日影を除く。）および東吾妻町を除く。）
028,宇都宮,うつのみや,栃木県,栃木県宇都宮市、さくら市、塩谷郡高根沢町、芳賀郡芳賀町
0280,古河,こが,茨城県,茨城県古河市、坂東市（生子、生子新田、逆井、菅谷および山に限る。）、猿島郡、埼玉県加須市（飯積、伊賀袋、小野袋、柏戸、駒場、栄、本郷、向古河、麦倉、柳生および陽光台に限る。）、栃木県小山市下生井、下都賀郡野木町
0282,栃木,とちぎ,栃木県,栃木県小山市（上生井および白鳥に限る。）、栃木市、下都賀郡壬生町
0289,鹿沼,かぬま,栃木県,栃木県鹿沼市
