市外局番	MA名	コード	番号区画名
11	札幌	1	北海道江別市、札幌市、北広島市、空知郡南幌町
123	千歳	2	北海道恵庭市、千歳市（東丘の一部を除く。）、苫小牧市丸山
123	夕張	3	北海道夕張市（富野を除く。）
123	栗山	004-2	北海道夕張市富野、夕張郡
124	芦別	6	北海道芦別市
125	滝川	7	北海道赤平市、歌志内市、砂川市、滝川市、雨竜郡雨竜町、樺戸郡（浦臼町および新十津川町に限る。）、空知郡（上砂川町および奈井江町に限る。）
126	岩見沢	008-2	北海道岩見沢市（宝水町を除く。）、美唄市、石狩郡新篠津村、樺戸郡月形町
1267	岩見沢	10	北海道岩見沢市宝水町、三笠市
133	石狩	011-2	北海道石狩市
133	当別	12	北海道石狩郡当別町
134	小樽	15	北海道小樽市
135	余市	16	北海道積丹郡、古平郡、余市郡
135	岩内	17	北海道岩内郡、古宇郡
136	倶知安	18	北海道虻田郡（喜茂別町、京極町、倶知安町、ニセコ町、真狩村および留寿都村に限る。）、磯谷郡
136	寿都	19	北海道島牧郡、寿都郡
137	今金	24	北海道久遠郡せたな町（大成区を除く。）、瀬棚郡
137	八雲	22	北海道二海郡八雲町（熊石相沼町、熊石鮎川町、熊石泉岱町、熊石雲石町、熊石大谷町、熊石折戸町、熊石黒岩町、熊石見日町、熊石関内町、熊石平町、熊石畳岩町、熊石館平町、熊石泊川町、熊石鳴神町、熊石西浜町および熊石根崎町を除く。）
1377	八雲	23	北海道山越郡
1372	鹿部	20	北海道茅部郡鹿部町
1374	森	21	北海道茅部郡森町
138	函館	25	北海道函館市、北斗市、亀田郡
139	松前	27	北海道松前郡
139	江差	028-2	北海道爾志郡、檜山郡
1392	木古内	26	北海道上磯郡
1397	奥尻	30	北海道奥尻郡
1398	熊石	31	北海道久遠郡せたな町大成区、二海郡八雲町（熊石相沼町、熊石鮎川町、熊石泉岱町、熊石雲石町、熊石大谷町、熊石折戸町、熊石黒岩町、熊石見日町、熊石関内町、熊石平町、熊石畳岩町、熊石館平町、熊石泊川町、熊石鳴神町、熊石西浜町および熊石根崎町に限る。）
142	伊達	32	北海道伊達市、虻田郡（洞爺湖町および豊浦町に限る。）、有珠郡
143	室蘭	33	北海道登別市、室蘭市
144	苫小牧	34	北海道苫小牧市（弁天の一部および丸山を除く。）、白老郡
145	早来	35	北海道勇払郡（厚真町（鹿沼を除く。）および安平町に限る。）、苫小牧市弁天の一部、千歳市東丘の一部
145	鵡川	36	北海道勇払郡（むかわ町および厚真町（鹿沼に限る。）に限る。）
1456	門別富川	37	北海道沙流郡日高町（栄町西、栄町東、新町、千栄、富岡、日高、本町西、本町東、松風町、三岩、宮下町、山手町および若葉町を除く。）、新冠郡新冠町里平
1457	門別富川	38	北海道沙流郡（平取町および日高町（栄町西、栄町東、新町、千栄、富岡、日高、本町西、本町東、松風町、三岩、宮下町、山手町および若葉町に限る。）に限る。）
